address,session_id,audit_status,model,pred_swc_list,pred_swc_count,is_other,pred_source,pred_reason,rule_scores_json,rule_matched_json,llm_fallback_json,llm_explanation_json,full_report_available,full_report_chars,full_report_path,static_summary_chars,static_summary_path,record_json_path,audit_attempts,empty_report_retries_used,finding_number,execution_time,gt_swc_set,error
0x0000000020e0a4bc775eb0cbefc7cfbeafc88444,e92b96af-cb77-43cf-bcf8-9ce8e2e22367,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,The label set SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) is reasonable because the findings reveal critical arithmetic errors leading to potential overflow risks and multiple reentrancy vulnerabilities violating checks-effects-interactions. Evidence: Critical arithmetic error divides by 16^40 causing zero-value transfers (SWC-101); Reentrancy vulnerabilities found in withdrawUpTo() and submitClaim() functions (SWC-107); Arithmetic overflow risks in timestamp addition and balance adjustments (SWC-101),"{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 9.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""kw:reentrant"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Critical arithmetic error divides by 16^40 causing zero-value transfers (SWC-101)"", ""Reentrancy vulnerabilities found in withdrawUpTo() and submitClaim() functions (SWC-107)"", ""Arithmetic overflow risks in timestamp addition and balance adjustments (SWC-101)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The label set SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) is reasonable because the findings reveal critical arithmetic errors leading to potential overflow risks and multiple reentrancy vulnerabilities violating checks-effects-interactions.\"",\n  \""evidence\"": [\n    \""Critical arithmetic error divides by 16^40 causing zero-value transfers (SWC-101)\"",\n    \""Reentrancy vulnerabilities found in withdrawUpTo() and submitClaim() functions (SWC-107)\"",\n    \""Arithmetic overflow risks in timestamp addition and balance adjustments (SWC-101)\""\n  ]\n}\n```"", ""reason"": ""The label set SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) is reasonable because the findings reveal critical arithmetic errors leading to potential overflow risks and multiple reentrancy vulnerabilities violating checks-effects-interactions.""}",1,3309,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x0000000020e0a4bc775eb0cbefc7cfbeafc88444/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x0000000020e0a4bc775eb0cbefc7cfbeafc88444/record.json,1,0,9,608.0397579669952,SWC-101|SWC-105,
0x000000e45ffaab3552f1eba4b2799b6803322c12,8266c053-eb0f-4e0a-8f71-61cc75fa5585,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,The chosen labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable because the contract contains both multiplication overflow risks in totalSupply() and reentrancy vulnerabilities in the Release function. Evidence: Release function makes external calls before state changes (reentrancy risk); totalSupply() multiplies WETH balance by 1 billion without overflow protection; Dangerous state patterns align with SWC-101 and SWC-107 classifications,"{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Release function makes external calls before state changes (reentrancy risk)"", ""totalSupply() multiplies WETH balance by 1 billion without overflow protection"", ""Dangerous state patterns align with SWC-101 and SWC-107 classifications""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The chosen labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable because the contract contains both multiplication overflow risks in totalSupply() and reentrancy vulnerabilities in the Release function.\"",\n  \""evidence\"": [\n    \""Release function makes external calls before state changes (reentrancy risk)\"",\n    \""totalSupply() multiplies WETH balance by 1 billion without overflow protection\"",\n    \""Dangerous state patterns align with SWC-101 and SWC-107 classifications\""\n  ]\n}\n```"", ""reason"": ""The chosen labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable because the contract contains both multiplication overflow risks in totalSupply() and reentrancy vulnerabilities in the Release function.""}",1,3300,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x000000e45ffaab3552f1eba4b2799b6803322c12/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x000000e45ffaab3552f1eba4b2799b6803322c12/record.json,1,0,9,560.4508819580078,SWC-101,
0x000ee2ed96e1d1277a67864dedd42140dcc6b835,0afdbbca-3b1c-426a-8f59-d7449b09ebb3,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable due to identified arithmetic vulnerabilities and unsafe external calls. The findings demonstrate clear risks of overflow in allowance calculations and reentrancy threats through low-level calls. Evidence: Unsafe multiplication in decreaseAllowance creates overflow risks (SWC-101); Address library uses unprotected external calls vulnerable to reentrancy (SWC-107); transferFrom's allowance reduction flaw enables potential underflows (SWC-101),"{""SWC-101"": 8.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""kw:underflow"", ""re:\\boverflow\\b"", ""re:\\bunderflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Unsafe multiplication in decreaseAllowance creates overflow risks (SWC-101)"", ""Address library uses unprotected external calls vulnerable to reentrancy (SWC-107)"", ""transferFrom's allowance reduction flaw enables potential underflows (SWC-101)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable due to identified arithmetic vulnerabilities and unsafe external calls. The findings demonstrate clear risks of overflow in allowance calculations and reentrancy threats through low-level calls.\"",\n  \""evidence\"": [\n    \""Unsafe multiplication in decreaseAllowance creates overflow risks (SWC-101)\"",\n    \""Address library uses unprotected external calls vulnerable to reentrancy (SWC-107)\"",\n    \""transferFrom's allowance reduction flaw enables potential underflows (SWC-101)\""\n  ]\n}\n```"", ""reason"": ""The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable due to identified arithmetic vulnerabilities and unsafe external calls. The findings demonstrate clear risks of overflow in allowance calculations and reentrancy threats through low-level calls.""}",1,3231,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x000ee2ed96e1d1277a67864dedd42140dcc6b835/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x000ee2ed96e1d1277a67864dedd42140dcc6b835/record.json,1,0,8,613.0914540290833,SWC-101,
0x001fbf99b635bbce9181c6e5c3e2eee0efafc560,ffc22457-3786-4b83-9d57-18d4e1d2d9b6,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable due to identified vulnerabilities in the contract. The contract exhibits a reentrancy vulnerability in the distribute() function and contains potential integer overflow/underflow risks. Evidence: Reentrancy vulnerability found in distribute() function (Finding 1); Integer overflow/underflow vulnerability identified in distribute() function (Finding 2); Lack of checks against contract balance creates overflow risks (Finding 3),"{""SWC-101"": 8.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""kw:underflow"", ""re:\\boverflow\\b"", ""re:\\bunderflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Reentrancy vulnerability found in distribute() function (Finding 1)"", ""Integer overflow/underflow vulnerability identified in distribute() function (Finding 2)"", ""Lack of checks against contract balance creates overflow risks (Finding 3)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable due to identified vulnerabilities in the contract. The contract exhibits a reentrancy vulnerability in the distribute() function and contains potential integer overflow/underflow risks.\"",\n  \""evidence\"": [\n    \""Reentrancy vulnerability found in distribute() function (Finding 1)\"",\n    \""Integer overflow/underflow vulnerability identified in distribute() function (Finding 2)\"",\n    \""Lack of checks against contract balance creates overflow risks (Finding 3)\""\n  ]\n}\n```"", ""reason"": ""The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable due to identified vulnerabilities in the contract. The contract exhibits a reentrancy vulnerability in the distribute() function and contains potential integer overflow/underflow risks.""}",1,2837,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x001fbf99b635bbce9181c6e5c3e2eee0efafc560/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x001fbf99b635bbce9181c6e5c3e2eee0efafc560/record.json,1,0,12,525.161523103714,SWC-101,
0x0040da8480b899f555ab6904f574e0c54b31386b,14137a52-a6c9-41fa-9bd4-f0781d4512ac,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,"The chosen labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable as the contract exhibits unsafe arithmetic operations and violates Checks-Effects-Interactions patterns, directly mapping to these vulnerability classifications. Evidence: The decreaseAllowance function performs unsafe multiplication without bounds checking (SWC-101); The _transfer function interacts with external contracts before completing state updates (SWC-107); Findings explicitly identify arithmetic issues and reentrancy risks in the audit report","{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""The decreaseAllowance function performs unsafe multiplication without bounds checking (SWC-101)"", ""The _transfer function interacts with external contracts before completing state updates (SWC-107)"", ""Findings explicitly identify arithmetic issues and reentrancy risks in the audit report""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The chosen labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable as the contract exhibits unsafe arithmetic operations and violates Checks-Effects-Interactions patterns, directly mapping to these vulnerability classifications.\"",\n  \""evidence\"": [\n    \""The decreaseAllowance function performs unsafe multiplication without bounds checking (SWC-101)\"",\n    \""The _transfer function interacts with external contracts before completing state updates (SWC-107)\"",\n    \""Findings explicitly identify arithmetic issues and reentrancy risks in the audit report\""\n  ]\n}\n```"", ""reason"": ""The chosen labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable as the contract exhibits unsafe arithmetic operations and violates Checks-Effects-Interactions patterns, directly mapping to these vulnerability classifications.""}",1,3572,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x0040da8480b899f555ab6904f574e0c54b31386b/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x0040da8480b899f555ab6904f574e0c54b31386b/record.json,1,0,8,476.5446138381958,SWC-101,
0x004def62c71992615cf22786d0b7efb22850df4a,3271557b-2d02-4f3f-aee5-60c7d1d5813f,completed,deepseek,,0,1,llm,"The contract exhibits multiple unique security and design issues not directly covered by standard SWC classifications. The unprotected critical function, inconsistent access patterns, and array manipulation risks represent novel vulnerabilities. Evidence: High-risk unprotected registerMintedToken function enables arbitrary token registration; Inconsistent access control between similar functions violates principle of least privilege; Array manipulation edge cases could lead to registry corruption","{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}","{""confidence"": 0.9, ""labels"": [], ""raw"": ""```json\n{\n  \""labels\"": [],\n  \""confidence\"": 0.9,\n  \""reason\"": \""All findings relate to access control issues and potential array manipulation, but none directly match the specified SWC labels (101, 105, 106, 107, or 115)\""\n}\n```"", ""reason"": ""All findings relate to access control issues and potential array manipulation, but none directly match the specified SWC labels (101, 105, 106, 107, or 115)"", ""source"": ""llm""}","{""evidence"": [""High-risk unprotected registerMintedToken function enables arbitrary token registration"", ""Inconsistent access control between similar functions violates principle of least privilege"", ""Array manipulation edge cases could lead to registry corruption""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The contract exhibits multiple unique security and design issues not directly covered by standard SWC classifications. The unprotected critical function, inconsistent access patterns, and array manipulation risks represent novel vulnerabilities.\"",\n  \""evidence\"": [\n    \""High-risk unprotected registerMintedToken function enables arbitrary token registration\"",\n    \""Inconsistent access control between similar functions violates principle of least privilege\"",\n    \""Array manipulation edge cases could lead to registry corruption\""\n  ]\n}\n```"", ""reason"": ""The contract exhibits multiple unique security and design issues not directly covered by standard SWC classifications. The unprotected critical function, inconsistent access patterns, and array manipulation risks represent novel vulnerabilities.""}",1,2024,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x004def62c71992615cf22786d0b7efb22850df4a/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x004def62c71992615cf22786d0b7efb22850df4a/record.json,1,0,4,479.701452255249,SWC-101,
0x005d36beef6cf9844d5cf844dde9507736022ca5,a3c4ffe4-6429-4866-8145-909a37b305cc,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,"The SWC-101 label applies due to inadequate access control making the contract immutable and unupgradeable post-deployment. SWC-107 fits because the unprotected division operation in SafeMath.div() lacks zero denominator checks, risking transaction reverts. Evidence: Contract-wide lack of access control mechanisms (Finding 1) matches SWC-101 (Integer Overflow and Underflow) impact for immutability risks; Unprotected SafeMath.div() operation (Finding 3) directly corresponds to SWC-107 (Reentrancy) as improper arithmetic protection; Findings show systemic arithmetic risks with both access control (admin functions) and division operations fundamental to contract logic","{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Contract-wide lack of access control mechanisms (Finding 1) matches SWC-101 (Integer Overflow and Underflow) impact for immutability risks"", ""Unprotected SafeMath.div() operation (Finding 3) directly corresponds to SWC-107 (Reentrancy) as improper arithmetic protection"", ""Findings show systemic arithmetic risks with both access control (admin functions) and division operations fundamental to contract logic""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The SWC-101 label applies due to inadequate access control making the contract immutable and unupgradeable post-deployment. SWC-107 fits because the unprotected division operation in SafeMath.div() lacks zero denominator checks, risking transaction reverts.\"",\n  \""evidence\"": [\n    \""Contract-wide lack of access control mechanisms (Finding 1) matches SWC-101 (Integer Overflow and Underflow) impact for immutability risks\"",\n    \""Unprotected SafeMath.div() operation (Finding 3) directly corresponds to SWC-107 (Reentrancy) as improper arithmetic protection\"",\n    \""Findings show systemic arithmetic risks with both access control (admin functions) and division operations fundamental to contract logic\""\n  ]\n}\n```"", ""reason"": ""The SWC-101 label applies due to inadequate access control making the contract immutable and unupgradeable post-deployment. SWC-107 fits because the unprotected division operation in SafeMath.div() lacks zero denominator checks, risking transaction reverts.""}",1,2220,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x005d36beef6cf9844d5cf844dde9507736022ca5/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x005d36beef6cf9844d5cf844dde9507736022ca5/record.json,1,0,5,668.8713300228119,SWC-101,
0x009109ab7b8caff748cda2f272f36043528bef2c,a8aedd2d-76bd-45f2-b0ea-2d3425424cac,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are justified due to clear evidence of arithmetic vulnerabilities and unsafe external calls. The findings demonstrate unprotected math operations and reentrant functions that could be exploited. Evidence: Unsafe external calls in TokenUtils without reentrancy protection (Finding 1); Lack of SafeMath protection in critical calculations (Finding 5); Centralized admin controls create single-point failure risks (Finding 2),"{""SWC-101"": 2.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""kw:underflow""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Unsafe external calls in TokenUtils without reentrancy protection (Finding 1)"", ""Lack of SafeMath protection in critical calculations (Finding 5)"", ""Centralized admin controls create single-point failure risks (Finding 2)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are justified due to clear evidence of arithmetic vulnerabilities and unsafe external calls. The findings demonstrate unprotected math operations and reentrant functions that could be exploited.\"",\n  \""evidence\"": [\n    \""Unsafe external calls in TokenUtils without reentrancy protection (Finding 1)\"",\n    \""Lack of SafeMath protection in critical calculations (Finding 5)\"",\n    \""Centralized admin controls create single-point failure risks (Finding 2)\""\n  ]\n}\n```"", ""reason"": ""The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are justified due to clear evidence of arithmetic vulnerabilities and unsafe external calls. The findings demonstrate unprotected math operations and reentrant functions that could be exploited.""}",1,3185,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x009109ab7b8caff748cda2f272f36043528bef2c/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x009109ab7b8caff748cda2f272f36043528bef2c/record.json,1,0,7,709.4480860233307,SWC-101|SWC-105|SWC-106,
0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d,bf70f5ba-68bc-4b99-9d8c-6e872dbcf00d,completed,deepseek,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},1,2,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d/record.json,1,0,0,165.1349959373474,SWC-101,
0x011de1ed601467ddbe556357e18683205dee0bda,d443decb-47b0-45b1-8f80-8656fd77bcf7,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable because the contract has unprotected arithmetic operations vulnerable to overflows and a transferFrom function violating CEI pattern. Evidence: Transfer functions lack overflow protection (SWC-101); transferFrom updates recipient balance before sender (SWC-107); Uses Solidity 0.5.0 without built-in overflow checks,"{""SWC-101"": 8.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""kw:underflow"", ""re:\\boverflow\\b"", ""re:\\bunderflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Transfer functions lack overflow protection (SWC-101)"", ""transferFrom updates recipient balance before sender (SWC-107)"", ""Uses Solidity 0.5.0 without built-in overflow checks""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable because the contract has unprotected arithmetic operations vulnerable to overflows and a transferFrom function violating CEI pattern.\"",\n  \""evidence\"": [\n    \""Transfer functions lack overflow protection (SWC-101)\"",\n    \""transferFrom updates recipient balance before sender (SWC-107)\"",\n    \""Uses Solidity 0.5.0 without built-in overflow checks\""\n  ]\n}\n```"", ""reason"": ""The labels SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) are reasonable because the contract has unprotected arithmetic operations vulnerable to overflows and a transferFrom function violating CEI pattern.""}",1,2731,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x011de1ed601467ddbe556357e18683205dee0bda/report.md,0,,/Users/hh/MacCodes/reaserch/demo01/test/results/20260301_123612/deepseek/contracts/0x011de1ed601467ddbe556357e18683205dee0bda/record.json,1,0,7,770.7661082744598,SWC-101,
