address,session_id,audit_status,model,pred_swc_list,pred_swc_count,is_other,pred_source,pred_reason,rule_scores_json,rule_matched_json,llm_fallback_json,llm_explanation_json,full_report_available,full_report_chars,full_report_path,static_summary_chars,static_summary_path,rag_used,rag_enabled,rag_effective_task_count,rag_effective_evidence_count,rag_similarity_threshold,record_json_path,audit_attempts,empty_report_retries_used,finding_number,execution_time,gt_swc_set,error
0x0000000020e0a4bc775eb0cbefc7cfbeafc88444,9971a6e6-a516-444d-adf2-ed7704b8bd31,completed,deepseek_school,SWC-105,1,0,rule_multi,Rule hits: SWC-105(4.5),"{""SWC-101"": 0.0, ""SWC-105"": 4.5, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [""kw:arbitrary-send-eth"", ""re:arbitrary-send""], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},"{""ok"": false, ""raw"": """", ""reason"": ""LLM explanation call failed: timed out""}",1,3678,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x0000000020e0a4bc775eb0cbefc7cfbeafc88444/report.md,0,,0,1,0,0,0.72,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x0000000020e0a4bc775eb0cbefc7cfbeafc88444/record.json,1,0,6,3264.3607380390167,SWC-101|SWC-105,
0x000000e45ffaab3552f1eba4b2799b6803322c12,a8950274-d5e0-4ef3-9453-86f8d34b06ff,completed,deepseek_school,SWC-101,1,0,rule_multi,Rule hits: SWC-101(5.0),"{""SWC-101"": 5.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""kw:underflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},"{""ok"": false, ""raw"": """", ""reason"": ""LLM explanation call failed: timed out""}",1,4059,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x000000e45ffaab3552f1eba4b2799b6803322c12/report.md,0,,0,1,0,0,0.72,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x000000e45ffaab3552f1eba4b2799b6803322c12/record.json,1,0,8,3153.8186388015747,SWC-101,
0x000ee2ed96e1d1277a67864dedd42140dcc6b835,182d320c-5cc3-47ad-9266-943890c14d5a,completed,deepseek_school,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},1,2,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x000ee2ed96e1d1277a67864dedd42140dcc6b835/report.md,0,,0,1,0,0,0.72,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x000ee2ed96e1d1277a67864dedd42140dcc6b835/record.json,1,0,0,3153.453433036804,SWC-101,
0x001fbf99b635bbce9181c6e5c3e2eee0efafc560,bd892d5b-3932-4533-aac0-1bce8270dd8f,completed,deepseek_school,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},1,2,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x001fbf99b635bbce9181c6e5c3e2eee0efafc560/report.md,0,,0,1,0,0,0.72,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x001fbf99b635bbce9181c6e5c3e2eee0efafc560/record.json,1,0,0,2018.7613408565521,SWC-101,
0x0040da8480b899f555ab6904f574e0c54b31386b,88a89a42-45fb-4ad9-8cb7-d3be8d54d161,completed,deepseek_school,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},1,2,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x0040da8480b899f555ab6904f574e0c54b31386b/report.md,0,,0,1,0,0,0.72,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x0040da8480b899f555ab6904f574e0c54b31386b/record.json,1,0,0,3211.87291431427,SWC-101,
0x004def62c71992615cf22786d0b7efb22850df4a,83b77a69-74ec-4e92-9e20-c1b9c372001c,completed,deepseek_school,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},1,2,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x004def62c71992615cf22786d0b7efb22850df4a/report.md,0,,0,1,0,0,0.72,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x004def62c71992615cf22786d0b7efb22850df4a/record.json,1,0,0,3118.789016008377,SWC-101,
0x005d36beef6cf9844d5cf844dde9507736022ca5,7414eec7-828a-41ea-9cf4-67765d470e19,completed,deepseek_school,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},1,2,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x005d36beef6cf9844d5cf844dde9507736022ca5/report.md,0,,0,1,0,0,0.72,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x005d36beef6cf9844d5cf844dde9507736022ca5/record.json,1,0,0,2138.318711042404,SWC-101,
0x009109ab7b8caff748cda2f272f36043528bef2c,cf12b3c2-79df-4619-bfcd-9b4c34baf7cf,completed,deepseek_school,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},1,2,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x009109ab7b8caff748cda2f272f36043528bef2c/report.md,0,,0,1,0,0,0.72,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x009109ab7b8caff748cda2f272f36043528bef2c/record.json,1,0,0,2169.882889986038,SWC-101|SWC-105|SWC-106,
0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d,d637062b-3f20-413f-a350-d27c599d8c79,completed,deepseek_school,,0,1,no_signal,No rule hit.,"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},{},1,2,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d/report.md,0,,0,1,0,0,0.72,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d/record.json,1,0,0,2129.390209913254,SWC-101,
0x011de1ed601467ddbe556357e18683205dee0bda,cebc9076-d829-4052-bbb4-734ab5bde334,completed,deepseek_school,SWC-101,1,0,rule_multi,Rule hits: SWC-101(8.0),"{""SWC-101"": 8.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""kw:underflow"", ""re:\\boverflow\\b"", ""re:\\bunderflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},"{""ok"": false, ""raw"": """", ""reason"": ""LLM explanation call failed: timed out""}",1,2367,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x011de1ed601467ddbe556357e18683205dee0bda/report.md,0,,0,1,0,0,0.72,/Users/hh/MacCodes/reaserch/demo01/test/results/20260304_175512/deepseek_school/contracts/0x011de1ed601467ddbe556357e18683205dee0bda/record.json,1,0,4,894.5249273777008,SWC-101,
