address,SWC_ID,gt_label,conflict_flag,pred_swc_list,pred_label,is_other,pred_source,session_id,model,full_report_available,full_report_chars,full_report_path
0x0000000020e0a4bc775eb0cbefc7cfbeafc88444,SWC-101,0,0,SWC-101|SWC-107,1,0,rule_multi,a716f6eb-5cc7-444b-8533-40e8ff8bb0fa,deepseek,1,2912,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x0000000020e0a4bc775eb0cbefc7cfbeafc88444.md
0x000000e45ffaab3552f1eba4b2799b6803322c12,SWC-101,0,0,SWC-101|SWC-107,1,0,rule_multi,b388e161-dfaf-4fc5-b5d8-1040c806cd0e,deepseek,1,4249,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x000000e45ffaab3552f1eba4b2799b6803322c12.md
0x000ee2ed96e1d1277a67864dedd42140dcc6b835,SWC-101,1,0,SWC-107,0,0,rule_multi,42f68391-0c8b-4564-ab02-db467968ecc2,deepseek,1,3612,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x000ee2ed96e1d1277a67864dedd42140dcc6b835.md
0x001fbf99b635bbce9181c6e5c3e2eee0efafc560,SWC-101,0,0,SWC-107,0,0,rule_multi,a9544d5b-8786-47d1-af7a-ad05dcb90d71,deepseek,1,4057,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x001fbf99b635bbce9181c6e5c3e2eee0efafc560.md
0x0040da8480b899f555ab6904f574e0c54b31386b,SWC-101,1,0,SWC-101|SWC-107,1,0,rule_multi,4cfc7ba0-47ec-440b-bf09-25a34378d748,deepseek,1,4314,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x0040da8480b899f555ab6904f574e0c54b31386b.md
0x004def62c71992615cf22786d0b7efb22850df4a,SWC-101,0,0,,0,1,llm,7d026771-5dee-4df7-893b-3533ab20b2d9,deepseek,1,2845,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x004def62c71992615cf22786d0b7efb22850df4a.md
0x005d36beef6cf9844d5cf844dde9507736022ca5,SWC-101,0,0,SWC-101,1,0,rule_multi,9aa6cebb-dcd9-4aff-8d92-050da47e078a,deepseek,1,3320,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x005d36beef6cf9844d5cf844dde9507736022ca5.md
0x009109ab7b8caff748cda2f272f36043528bef2c,SWC-101,0,0,,0,1,llm,3ad3d080-5196-4f42-9cf8-7e40ac2853cf,deepseek,1,1643,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x009109ab7b8caff748cda2f272f36043528bef2c.md
0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d,SWC-101,0,0,SWC-101|SWC-107,1,0,rule_multi,a118e366-a852-4c62-acc1-39c29c56f95a,deepseek,1,3946,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d.md
0x011de1ed601467ddbe556357e18683205dee0bda,SWC-101,1,0,SWC-101,1,0,rule_multi,d246b545-4de3-4045-a9ec-29f7686b8481,deepseek,1,2548,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x011de1ed601467ddbe556357e18683205dee0bda.md
0x0000000020e0a4bc775eb0cbefc7cfbeafc88444,SWC-105,1,0,SWC-101|SWC-107,0,0,rule_multi,a716f6eb-5cc7-444b-8533-40e8ff8bb0fa,deepseek,1,2912,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x0000000020e0a4bc775eb0cbefc7cfbeafc88444.md
0x009109ab7b8caff748cda2f272f36043528bef2c,SWC-105,0,0,,0,1,llm,3ad3d080-5196-4f42-9cf8-7e40ac2853cf,deepseek,1,1643,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x009109ab7b8caff748cda2f272f36043528bef2c.md
0x009109ab7b8caff748cda2f272f36043528bef2c,SWC-106,0,0,,0,1,llm,3ad3d080-5196-4f42-9cf8-7e40ac2853cf,deepseek,1,1643,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x009109ab7b8caff748cda2f272f36043528bef2c.md
