address,session_id,audit_status,model,pred_swc_list,pred_swc_count,is_other,pred_source,pred_reason,rule_scores_json,rule_matched_json,llm_fallback_json,llm_explanation_json,full_report_available,full_report_chars,full_report_path,finding_number,execution_time,gt_swc_set,error
0x0000000020e0a4bc775eb0cbefc7cfbeafc88444,a716f6eb-5cc7-444b-8533-40e8ff8bb0fa,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,The label set SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) is reasonable due to findings of unsafe arithmetic operations and multiple reentrancy vulnerabilities. These issues directly correspond to the listed SWC vulnerabilities and present significant risks. Evidence: Finding 1 shows reentrancy vulnerability violating Checks-Effects-Interactions pattern (matches SWC-107); Finding 2 documents unsafe arithmetic operations without overflow protection (matches SWC-101); Finding 7 demonstrates another reentrancy case with state changes after external calls (reinforces SWC-107),"{""SWC-101"": 8.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""kw:underflow"", ""re:\\boverflow\\b"", ""re:\\bunderflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Finding 1 shows reentrancy vulnerability violating Checks-Effects-Interactions pattern (matches SWC-107)"", ""Finding 2 documents unsafe arithmetic operations without overflow protection (matches SWC-101)"", ""Finding 7 demonstrates another reentrancy case with state changes after external calls (reinforces SWC-107)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The label set SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) is reasonable due to findings of unsafe arithmetic operations and multiple reentrancy vulnerabilities. These issues directly correspond to the listed SWC vulnerabilities and present significant risks.\"",\n  \""evidence\"": [\n    \""Finding 1 shows reentrancy vulnerability violating Checks-Effects-Interactions pattern (matches SWC-107)\"",\n    \""Finding 2 documents unsafe arithmetic operations without overflow protection (matches SWC-101)\"",\n    \""Finding 7 demonstrates another reentrancy case with state changes after external calls (reinforces SWC-107)\""\n  ]\n}\n```"", ""reason"": ""The label set SWC-101 (Integer Overflow and Underflow) and SWC-107 (Reentrancy) is reasonable due to findings of unsafe arithmetic operations and multiple reentrancy vulnerabilities. These issues directly correspond to the listed SWC vulnerabilities and present significant risks.""}",1,2912,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x0000000020e0a4bc775eb0cbefc7cfbeafc88444.md,8,254.6571409702301,SWC-101|SWC-105,
0x000000e45ffaab3552f1eba4b2799b6803322c12,b388e161-dfaf-4fc5-b5d8-1040c806cd0e,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,"The SWC-101 label applies due to multiple reentrancy vulnerabilities in transfer and release functions, while SWC-107 fits because of incorrect state handling and undefined behavior risks from unchecked ERC20 transfers and arithmetic operations. Evidence: Release function has reentrancy risk with unsafe external calls (SWC-101); Unchecked ERC20 transfer return values violate safety patterns (SWC-107); totalSupply calculation could overflow without bounds checking (SWC-107)","{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Release function has reentrancy risk with unsafe external calls (SWC-101)"", ""Unchecked ERC20 transfer return values violate safety patterns (SWC-107)"", ""totalSupply calculation could overflow without bounds checking (SWC-107)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The SWC-101 label applies due to multiple reentrancy vulnerabilities in transfer and release functions, while SWC-107 fits because of incorrect state handling and undefined behavior risks from unchecked ERC20 transfers and arithmetic operations.\"",\n  \""evidence\"": [\n    \""Release function has reentrancy risk with unsafe external calls (SWC-101)\"",\n    \""Unchecked ERC20 transfer return values violate safety patterns (SWC-107)\"",\n    \""totalSupply calculation could overflow without bounds checking (SWC-107)\""\n  ]\n}\n```"", ""reason"": ""The SWC-101 label applies due to multiple reentrancy vulnerabilities in transfer and release functions, while SWC-107 fits because of incorrect state handling and undefined behavior risks from unchecked ERC20 transfers and arithmetic operations.""}",1,4249,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x000000e45ffaab3552f1eba4b2799b6803322c12.md,9,219.2712209224701,SWC-101,
0x000ee2ed96e1d1277a67864dedd42140dcc6b835,42f68391-0c8b-4564-ab02-db467968ecc2,completed,deepseek,SWC-107,1,0,rule_multi,"The SWC-107 label is appropriate because the contract demonstrates multiple instances of reentrancy risks and improper state transitions, particularly in the transfer-related functions. The findings show unsafe external calls and state changes after transfers, which align with SWC-107's scope of reentrancy vulnerabilities. Evidence: Cross-Function Reentrancy Risk finding shows unsafe interaction patterns in transfer functions; Insecure approve/transferFrom Implementation could enable reentrancy during allowance processing; _transfer function patterns match classic reentrancy risk indicators in static analysis","{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Cross-Function Reentrancy Risk finding shows unsafe interaction patterns in transfer functions"", ""Insecure approve/transferFrom Implementation could enable reentrancy during allowance processing"", ""_transfer function patterns match classic reentrancy risk indicators in static analysis""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The SWC-107 label is appropriate because the contract demonstrates multiple instances of reentrancy risks and improper state transitions, particularly in the transfer-related functions. The findings show unsafe external calls and state changes after transfers, which align with SWC-107's scope of reentrancy vulnerabilities.\"",\n  \""evidence\"": [\n    \""Cross-Function Reentrancy Risk finding shows unsafe interaction patterns in transfer functions\"",\n    \""Insecure approve/transferFrom Implementation could enable reentrancy during allowance processing\"",\n    \""_transfer function patterns match classic reentrancy risk indicators in static analysis\""\n  ]\n}\n```"", ""reason"": ""The SWC-107 label is appropriate because the contract demonstrates multiple instances of reentrancy risks and improper state transitions, particularly in the transfer-related functions. The findings show unsafe external calls and state changes after transfers, which align with SWC-107's scope of reentrancy vulnerabilities.""}",1,3612,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x000ee2ed96e1d1277a67864dedd42140dcc6b835.md,7,220.49043917655945,SWC-101,
0x001fbf99b635bbce9181c6e5c3e2eee0efafc560,a9544d5b-8786-47d1-af7a-ad05dcb90d71,completed,deepseek,SWC-107,1,0,rule_multi,The SWC-107 (Reentrancy) label is justified due to multiple high-severity findings demonstrating unsafe external calls in the distribution loop combined with an unrestricted fallback function. The findings clearly show reentrancy risks enabling contract drainage. Evidence: Reentrancy vulnerability in ETH distribution loop (Finding 1); Cross-function reentrancy via fallback function (Finding 2); Unrestricted payable fallback function enabling attack vector (Finding 4),"{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 9.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""kw:reentrant"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Reentrancy vulnerability in ETH distribution loop (Finding 1)"", ""Cross-function reentrancy via fallback function (Finding 2)"", ""Unrestricted payable fallback function enabling attack vector (Finding 4)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The SWC-107 (Reentrancy) label is justified due to multiple high-severity findings demonstrating unsafe external calls in the distribution loop combined with an unrestricted fallback function. The findings clearly show reentrancy risks enabling contract drainage.\"",\n  \""evidence\"": [\n    \""Reentrancy vulnerability in ETH distribution loop (Finding 1)\"",\n    \""Cross-function reentrancy via fallback function (Finding 2)\"",\n    \""Unrestricted payable fallback function enabling attack vector (Finding 4)\""\n  ]\n}\n```"", ""reason"": ""The SWC-107 (Reentrancy) label is justified due to multiple high-severity findings demonstrating unsafe external calls in the distribution loop combined with an unrestricted fallback function. The findings clearly show reentrancy risks enabling contract drainage.""}",1,4057,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x001fbf99b635bbce9181c6e5c3e2eee0efafc560.md,10,223.5448169708252,SWC-101,
0x0040da8480b899f555ab6904f574e0c54b31386b,4cfc7ba0-47ec-440b-bf09-25a34378d748,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,The label SWC-101 (Integer Overflow and Underflow) is justified due to findings of potential overflow in owner functions without SafeMath protections. SWC-107 (Reentrancy) applies because of multiple high-severity reentrancy risks in transfer functions with improper Checks-Effects-Interactions patterns. Evidence: decreaseAllowance() performs multiplication without SafeMath (Finding 8); transferFrom() has state changes after potential external calls (Finding 1); _transfer() shows state changes before checks (Finding 7),"{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""decreaseAllowance() performs multiplication without SafeMath (Finding 8)"", ""transferFrom() has state changes after potential external calls (Finding 1)"", ""_transfer() shows state changes before checks (Finding 7)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The label SWC-101 (Integer Overflow and Underflow) is justified due to findings of potential overflow in owner functions without SafeMath protections. SWC-107 (Reentrancy) applies because of multiple high-severity reentrancy risks in transfer functions with improper Checks-Effects-Interactions patterns.\"",\n  \""evidence\"": [\n    \""decreaseAllowance() performs multiplication without SafeMath (Finding 8)\"",\n    \""transferFrom() has state changes after potential external calls (Finding 1)\"",\n    \""_transfer() shows state changes before checks (Finding 7)\""\n  ]\n}\n```"", ""reason"": ""The label SWC-101 (Integer Overflow and Underflow) is justified due to findings of potential overflow in owner functions without SafeMath protections. SWC-107 (Reentrancy) applies because of multiple high-severity reentrancy risks in transfer functions with improper Checks-Effects-Interactions patterns.""}",1,4314,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x0040da8480b899f555ab6904f574e0c54b31386b.md,10,232.3234338760376,SWC-101,
0x004def62c71992615cf22786d0b7efb22850df4a,7d026771-5dee-4df7-893b-3533ab20b2d9,completed,deepseek,,0,1,llm,"The contract exhibits multiple unique security issues not covered by standard SWC classifications, including improper access control, inconsistent ownership patterns, and symbol management risks. These findings represent contract-specific logic flaws rather than common vulnerabilities. Evidence: Unauthorized token registration bypasses access control (High severity); Coexistence of conflicting ownership transfer mechanisms (Medium severity); Symbol reuse allows potential phishing through recycled identifiers (Medium severity)","{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}","{""confidence"": 0.95, ""labels"": [], ""raw"": ""```json\n{\n  \""labels\"": [],\n  \""confidence\"": 0.95,\n  \""reason\"": \""The findings primarily relate to access control, input validation, and registry management issues, none of which directly map to the specified SWC classifications (101, 105, 106, 107, 115).\""\n}\n```"", ""reason"": ""The findings primarily relate to access control, input validation, and registry management issues, none of which directly map to the specified SWC classifications (101, 105, 106, 107, 115)."", ""source"": ""llm""}","{""evidence"": [""Unauthorized token registration bypasses access control (High severity)"", ""Coexistence of conflicting ownership transfer mechanisms (Medium severity)"", ""Symbol reuse allows potential phishing through recycled identifiers (Medium severity)""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The contract exhibits multiple unique security issues not covered by standard SWC classifications, including improper access control, inconsistent ownership patterns, and symbol management risks. These findings represent contract-specific logic flaws rather than common vulnerabilities.\"",\n  \""evidence\"": [\n    \""Unauthorized token registration bypasses access control (High severity)\"",\n    \""Coexistence of conflicting ownership transfer mechanisms (Medium severity)\"",\n    \""Symbol reuse allows potential phishing through recycled identifiers (Medium severity)\""\n  ]\n}\n```"", ""reason"": ""The contract exhibits multiple unique security issues not covered by standard SWC classifications, including improper access control, inconsistent ownership patterns, and symbol management risks. These findings represent contract-specific logic flaws rather than common vulnerabilities.""}",1,2845,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x004def62c71992615cf22786d0b7efb22850df4a.md,6,217.34182405471802,SWC-101,
0x005d36beef6cf9844d5cf844dde9507736022ca5,9aa6cebb-dcd9-4aff-8d92-050da47e078a,completed,deepseek,SWC-101,1,0,rule_multi,The label SWC-101 (Integer Overflow and Underflow) is reasonable because multiple findings relate to arithmetic issues in percentage calculations and small amount handling. The incorrect percentage calculation and potential underflow in burn calculations both demonstrate integer arithmetic vulnerabilities. Evidence: Finding 1 shows incorrect division leading to 10x higher burns than intended; Finding 2 documents underflow risks for small token amounts (<100 wei); Finding 6 highlights rounding issues affecting arithmetic operations,"{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:underflow"", ""re:\\bunderflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},"{""evidence"": [""Finding 1 shows incorrect division leading to 10x higher burns than intended"", ""Finding 2 documents underflow risks for small token amounts (<100 wei)"", ""Finding 6 highlights rounding issues affecting arithmetic operations""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The label SWC-101 (Integer Overflow and Underflow) is reasonable because multiple findings relate to arithmetic issues in percentage calculations and small amount handling. The incorrect percentage calculation and potential underflow in burn calculations both demonstrate integer arithmetic vulnerabilities.\"",\n  \""evidence\"": [\n    \""Finding 1 shows incorrect division leading to 10x higher burns than intended\"",\n    \""Finding 2 documents underflow risks for small token amounts (<100 wei)\"",\n    \""Finding 6 highlights rounding issues affecting arithmetic operations\""\n  ]\n}\n```"", ""reason"": ""The label SWC-101 (Integer Overflow and Underflow) is reasonable because multiple findings relate to arithmetic issues in percentage calculations and small amount handling. The incorrect percentage calculation and potential underflow in burn calculations both demonstrate integer arithmetic vulnerabilities.""}",1,3320,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x005d36beef6cf9844d5cf844dde9507736022ca5.md,7,212.773579120636,SWC-101,
0x009109ab7b8caff748cda2f272f36043528bef2c,3ad3d080-5196-4f42-9cf8-7e40ac2853cf,completed,deepseek,,0,1,llm,"The label SWC-OTHER is appropriate as the findings represent miscellaneous issues not directly covered by standard SWC classifications but still merit attention. The issues include timestamp manipulation risks, input validation gaps, and missing events for critical operations. Evidence: Timestamp dependency in governance delays could allow minor timing manipulation; Missing contract validation before external calls in CompGetDebt.sol; Lack of event logging for administrative changes reduces auditability","{""SWC-101"": 0.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}","{""confidence"": 0.8, ""labels"": [], ""raw"": ""```json\n{\n  \""labels\"": [],\n  \""confidence\"": 0.8,\n  \""reason\"": \""None of the findings match the specified SWC classifications. The issues relate to timestamp manipulation, insufficient address validation, and missing event emissions, which are not covered by the given SWC labels.\""\n}\n```"", ""reason"": ""None of the findings match the specified SWC classifications. The issues relate to timestamp manipulation, insufficient address validation, and missing event emissions, which are not covered by the given SWC labels."", ""source"": ""llm""}","{""evidence"": [""Timestamp dependency in governance delays could allow minor timing manipulation"", ""Missing contract validation before external calls in CompGetDebt.sol"", ""Lack of event logging for administrative changes reduces auditability""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The label SWC-OTHER is appropriate as the findings represent miscellaneous issues not directly covered by standard SWC classifications but still merit attention. The issues include timestamp manipulation risks, input validation gaps, and missing events for critical operations.\"",\n  \""evidence\"": [\n    \""Timestamp dependency in governance delays could allow minor timing manipulation\"",\n    \""Missing contract validation before external calls in CompGetDebt.sol\"",\n    \""Lack of event logging for administrative changes reduces auditability\""\n  ]\n}\n```"", ""reason"": ""The label SWC-OTHER is appropriate as the findings represent miscellaneous issues not directly covered by standard SWC classifications but still merit attention. The issues include timestamp manipulation risks, input validation gaps, and missing events for critical operations.""}",1,1643,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x009109ab7b8caff748cda2f272f36043528bef2c.md,3,186.3498830795288,SWC-101|SWC-105|SWC-106,
0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d,a118e366-a852-4c62-acc1-39c29c56f95a,completed,deepseek,SWC-101|SWC-107,2,0,rule_multi,"The label SWC-101 (Integer Overflow and Underflow) is justified due to the unbounded token ID counter finding, while SWC-107 (Reentrancy) applies because of the reentrancy vulnerability in key functions. Evidence: Unbounded _tokenIds counter lacks overflow checks (Finding 4), matching SWC-101; createNewTokens and setBurn functions violate Checks-Effects-Interactions pattern (Finding 1), fitting SWC-107; Both issues appear in smart contract code with High severity impacts","{""SWC-101"": 4.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 8.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""re:\\boverflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [""kw:reentrancy"", ""re:\\bre-?entran"", ""re:reentrancy""], ""SWC-115"": []}",{},"{""evidence"": [""Unbounded _tokenIds counter lacks overflow checks (Finding 4), matching SWC-101"", ""createNewTokens and setBurn functions violate Checks-Effects-Interactions pattern (Finding 1), fitting SWC-107"", ""Both issues appear in smart contract code with High severity impacts""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""The label SWC-101 (Integer Overflow and Underflow) is justified due to the unbounded token ID counter finding, while SWC-107 (Reentrancy) applies because of the reentrancy vulnerability in key functions.\"",\n  \""evidence\"": [\n    \""Unbounded _tokenIds counter lacks overflow checks (Finding 4), matching SWC-101\"",\n    \""createNewTokens and setBurn functions violate Checks-Effects-Interactions pattern (Finding 1), fitting SWC-107\"",\n    \""Both issues appear in smart contract code with High severity impacts\""\n  ]\n}\n```"", ""reason"": ""The label SWC-101 (Integer Overflow and Underflow) is justified due to the unbounded token ID counter finding, while SWC-107 (Reentrancy) applies because of the reentrancy vulnerability in key functions.""}",1,3946,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x00ea18ed5bfda37b08e72c40016b26cb5b17e32d.md,9,223.01906204223633,SWC-101,
0x011de1ed601467ddbe556357e18683205dee0bda,d246b545-4de3-4045-a9ec-29f7686b8481,completed,deepseek,SWC-101,1,0,rule_multi,SWC-101 is appropriate because the contract exhibits integer overflow/underflow vulnerabilities in critical functions without protection mechanisms. These findings match SWC-101's description of arithmetic issues in older Solidity versions without safeguards. Evidence: Arithmetic operations in transfer() and transferFrom() lack overflow checks; Contract uses Solidity 0.5.0 without SafeMath protections; Static analysis confirms unprotected arithmetic throughout the contract,"{""SWC-101"": 8.0, ""SWC-105"": 0.0, ""SWC-106"": 0.0, ""SWC-107"": 0.0, ""SWC-115"": 0.0}","{""SWC-101"": [""kw:overflow"", ""kw:underflow"", ""re:\\boverflow\\b"", ""re:\\bunderflow\\b""], ""SWC-105"": [], ""SWC-106"": [], ""SWC-107"": [], ""SWC-115"": []}",{},"{""evidence"": [""Arithmetic operations in transfer() and transferFrom() lack overflow checks"", ""Contract uses Solidity 0.5.0 without SafeMath protections"", ""Static analysis confirms unprotected arithmetic throughout the contract""], ""ok"": true, ""raw"": ""```json\n{\n  \""reason\"": \""SWC-101 is appropriate because the contract exhibits integer overflow/underflow vulnerabilities in critical functions without protection mechanisms. These findings match SWC-101's description of arithmetic issues in older Solidity versions without safeguards.\"",\n  \""evidence\"": [\n    \""Arithmetic operations in transfer() and transferFrom() lack overflow checks\"",\n    \""Contract uses Solidity 0.5.0 without SafeMath protections\"",\n    \""Static analysis confirms unprotected arithmetic throughout the contract\""\n  ]\n}\n```"", ""reason"": ""SWC-101 is appropriate because the contract exhibits integer overflow/underflow vulnerabilities in critical functions without protection mechanisms. These findings match SWC-101's description of arithmetic issues in older Solidity versions without safeguards.""}",1,2548,/Users/hh/MacCodes/reaserch/demo01/test/results/20260221_211119/deepseek/reports/0x011de1ed601467ddbe556357e18683205dee0bda.md,5,252.309828042984,SWC-101,
